id;gdp;gdp_per_capita;gdp_source;gdp_year
485;28.59;0.000046;country_total_population_share;2024
486;10.50;0.000046;country_total_population_share;2024
487;60.28;0.000046;country_total_population_share;2024
488;44.27;0.000046;country_total_population_share;2024
489;10.43;0.000046;country_total_population_share;2024
490;24.15;0.000046;country_total_population_share;2024
491;19.87;0.000046;country_total_population_share;2024
492;48.64;0.000046;country_total_population_share;2024
493;32.95;0.000046;country_total_population_share;2024
494;40.76;0.000046;country_total_population_share;2024
495;11.06;0.000046;country_total_population_share;2024
496;22.09;0.000046;country_total_population_share;2024
497;27.91;0.000046;country_total_population_share;2024
498;18.18;0.000046;country_total_population_share;2024
499;49.65;0.000046;country_total_population_share;2024
500;14.31;0.000046;country_total_population_share;2024
501;22.56;0.000046;country_total_population_share;2024
502;29.93;0.000046;country_total_population_share;2024
503;46.28;0.000046;country_total_population_share;2024
504;27.35;0.000046;country_total_population_share;2024
505;19.22;0.000046;country_total_population_share;2024
506;14.66;0.000046;country_total_population_share;2024
507;19.66;0.000046;country_total_population_share;2024
508;32.34;0.000046;country_total_population_share;2024
509;13.57;0.000046;country_total_population_share;2024
510;39.23;0.000046;country_total_population_share;2024
511;35.76;0.000046;country_total_population_share;2024
512;30.76;0.000046;country_total_population_share;2024
513;27.70;0.000046;country_total_population_share;2024
514;13.96;0.000046;country_total_population_share;2024
515;41.02;0.000046;country_total_population_share;2024
516;16.99;0.000046;country_total_population_share;2024
517;23.22;0.000046;country_total_population_share;2024
518;18.94;0.000046;country_total_population_share;2024
519;13.86;0.000046;country_total_population_share;2024
520;24.84;0.000046;country_total_population_share;2024
521;44.23;0.000046;country_total_population_share;2024
522;16.15;0.000046;country_total_population_share;2024
523;21.00;0.000046;country_total_population_share;2024
524;14.05;0.000046;country_total_population_share;2024
525;34.51;0.000046;country_total_population_share;2024
526;29.36;0.000046;country_total_population_share;2024
527;32.17;0.000046;country_total_population_share;2024
528;18.91;0.000046;country_total_population_share;2024
529;27.58;0.000046;country_total_population_share;2024
530;24.30;0.000046;country_total_population_share;2024
531;12.04;0.000046;country_total_population_share;2024
532;31.73;0.000046;country_total_population_share;2024
533;55.62;0.000046;country_total_population_share;2024
534;24.93;0.000046;country_total_population_share;2024
535;28.03;0.000046;country_total_population_share;2024
536;22.81;0.000046;country_total_population_share;2024
537;30.90;0.000046;country_total_population_share;2024
538;31.65;0.000046;country_total_population_share;2024
539;21.00;0.000046;country_total_population_share;2024
540;24.36;0.000046;country_total_population_share;2024
541;33.40;0.000046;country_total_population_share;2024
542;19.25;0.000046;country_total_population_share;2024
543;57.94;0.000046;country_total_population_share;2024
544;28.98;0.000046;country_total_population_share;2024
545;25.03;0.000046;country_total_population_share;2024
546;46.27;0.000046;country_total_population_share;2024
547;19.84;0.000046;country_total_population_share;2024
548;14.08;0.000046;country_total_population_share;2024
549;5.56;0.000006;country_total_population_share;2024
550;1.14;0.000006;country_total_population_share;2024
551;2.69;0.000006;country_total_population_share;2024
552;1.06;0.000006;country_total_population_share;2024
553;7.36;0.000184;country_total_population_share;2024
554;7.34;0.000036;country_total_population_share;2024
555;19.93;0.000036;country_total_population_share;2024
556;4.96;0.000036;country_total_population_share;2024
557;6.89;0.000036;country_total_population_share;2024
558;7.65;0.000036;country_total_population_share;2024
559;12.49;0.000036;country_total_population_share;2024
560;7.95;0.000036;country_total_population_share;2024
561;10.70;0.000036;country_total_population_share;2024
562;7.35;0.000036;country_total_population_share;2024
563;19.41;0.000036;country_total_population_share;2024
564;107.76;0.000161;country_total_population_share;2024
565;0.38;0.000028;country_total_population_share;2024
566;0.65;0.000028;country_total_population_share;2024
567;0.25;0.000028;country_total_population_share;2024
568;0.38;0.000028;country_total_population_share;2024
569;1.31;0.000028;country_total_population_share;2024
570;0.11;0.000028;country_total_population_share;2024
571;1.57;0.000028;country_total_population_share;2024
572;3.84;0.000028;country_total_population_share;2024
573;0.96;0.000028;country_total_population_share;2024
574;0.51;0.000028;country_total_population_share;2024
575;1.71;0.000028;country_total_population_share;2024
576;29.23;0.000028;country_total_population_share;2024
577;1.36;0.000028;country_total_population_share;2024
578;1.36;0.000028;country_total_population_share;2024
579;0.91;0.000028;country_total_population_share;2024
580;1.47;0.000028;country_total_population_share;2024
581;2.83;0.000028;country_total_population_share;2024
582;1.31;0.000028;country_total_population_share;2024
583;2.13;0.000028;country_total_population_share;2024
584;1.41;0.000008;country_total_population_share;2024
585;1.22;0.000008;country_total_population_share;2024
586;1.56;0.000008;country_total_population_share;2024
587;2.11;0.000008;country_total_population_share;2024
588;1.94;0.000008;country_total_population_share;2024
589;0.93;0.000008;country_total_population_share;2024
590;2.03;0.000008;country_total_population_share;2024
591;1.18;0.000008;country_total_population_share;2024
592;1.60;0.000008;country_total_population_share;2024
593;0.86;0.000008;country_total_population_share;2024
594;0.74;0.000008;country_total_population_share;2024
595;0.56;0.000008;country_total_population_share;2024
596;2.21;0.000008;country_total_population_share;2024
597;8.04;0.000008;country_total_population_share;2024
598;1.09;0.000008;country_total_population_share;2024
599;0.77;0.000008;country_total_population_share;2024
600;0.88;0.000008;country_total_population_share;2024
601;0.71;0.000008;country_total_population_share;2024
602;0.91;0.000008;country_total_population_share;2024
603;1.41;0.000008;country_total_population_share;2024
604;0.90;0.000008;country_total_population_share;2024
605;0.77;0.000008;country_total_population_share;2024
606;22.75;0.000041;country_total_population_share;2024
607;0.78;0.000013;country_total_population_share;2024
608;0.81;0.000013;country_total_population_share;2024
